"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"GY:SAP","SAP SE","SAP","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","DE0007164600","","140,818,181,609","EUR","Analyze"
"GY:SIE","Siemens Aktiengesellschaft","SIE","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0007236101","","120,727,738,900","EUR","Analyze"
"GY:VOW","Volkswagen AG","VOW","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE0007664005","","117,746,610,265","EUR","Analyze"
"GY:VOW3","Volkswagen AG","VOW3","01/03/2000","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE0007664039","5497168","117,746,610,265","EUR","Analyze"
"GY:MRK","MERCK Kommanditgesellschaft auf Aktien","MRK","10/23/1995","Global Equity","Comon stocks","Developed markets ex-US","Health Care","DE0006599905","","97,607,633,611","EUR","Analyze"
"GY:ALV","Allianz SE","ALV","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Financials","DE0008404005","","82,814,833,750","EUR","Analyze"
"GY:DAI","Daimler AG","DAI","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE0007100000","","79,432,650,000","EUR","Analyze"
"GY:DTE","Deutsche Telekom AG","DTE","11/18/1996","Global Equity","Comon stocks","Developed markets ex-US","Communication Services","DE0005557508","","79,045,341,663","EUR","Analyze"
"GY:SHL","Siemens Healthineers Ag","SHL","03/16/2018","Global Equity","Common stocks","Developed markets ex-US","Health Care","DE000SHL1006","BD594Y4","76,282,246,507","EUR","Analyze"
"GY:DPW","Deutsche Post AG","DPW","11/20/2000","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0005552004","","66,066,647,687","EUR","Analyze"
"GY:BMW","Bayerische Motoren Werke Aktiengesellschaft","BMW","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE0005190003","","58,235,244,373","EUR","Analyze"
"GY:BMW3","Bayerische Motoren Werke Aktiengesellschaft","BMW3","12/15/1997","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE0005190037","5756030","58,235,244,373","EUR","Analyze"
"GY:BAS","BASF SE","BAS","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Materials","DE000BASF111","","54,952,580,262","EUR","Analyze"
"GY:IFX","Infineon Technologies AG","IFX","03/13/2000","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","DE0006231004","","52,035,500,766","EUR","Analyze"
"GY:ADS","adidas AG","ADS","11/17/1995","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE000A1EWWW0","","49,078,620,696","EUR","Analyze"
"GY:BAYN","Bayer Aktiengesellschaft","BAYN","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Health Care","DE000BAY0017","","45,790,786,462","EUR","Analyze"
"GY:HLAG","Hapag-Lloyd Aktiengesellschaft","HLAG","11/06/2015","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000HLAG475","BYZTSW7","39,756,978,276","EUR","Analyze"
"GY:SRT3","Sartorius Aktiengesellschaft","SRT3","10/09/1998","Global Equity","Common stocks","Developed markets ex-US","Health Care","DE0007165631","5843329","36,436,747,855","EUR","Analyze"
"GY:MUV2","Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München","MUV2","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Financials","DE0008430026","","34,758,544,781","EUR","Analyze"
"GY:VNA","Vonovia SE","VNA","07/02/2013","Global Equity","Common stocks","Developed markets ex-US","Real Estate","DE000A1ML7J1","BBJPFY1","30,878,415,673","EUR","Analyze"
"GY:HEN","Henkel AG & Co. KGaA","HEN","07/03/1996","Global Equity","Comon stocks","Developed markets ex-US","Consumer Staples","DE0006048408","","30,060,760,454","EUR","Analyze"
"GY:HEN3","Henkel AG & Co. KGaA","HEN3","12/15/1997","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","DE0006048432","5076705","30,060,760,454","EUR","Analyze"
"GY:EOAN","E.ON SE","EOAN","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Utilities","DE000ENAG999","","29,645,788,179","EUR","Analyze"
"GY:DHER","Delivery Hero SE","DHER","06/29/2017","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000A2E4K43","BZCNB42","26,055,482,928","EUR","Analyze"
"GY:PAH3","Porsche Automobil Holding SE","PAH3","12/04/1997","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000PAH0038","7101069","25,749,500,000","EUR","Analyze"
"GY:DB1","Deutsche Börse AG","DB1","02/05/2001","Global Equity","Comon stocks","Developed markets ex-US","Financials","DE0005810055","","25,463,574,408","EUR","Analyze"
"GY:IGY","innogy SE","IGY","10/07/2016","Global Equity","Common stocks","Developed markets ex-US","Utilities","DE000A2AADD2","BDCFZS6","24,255,551,488","EUR","Analyze"
"GY:RWE","RWE AG","RWE","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Utilities","DE0007037129","","23,343,114,400","EUR","Analyze"
"GY:DBK","Deutsche Bank Aktiengesellschaft","DBK","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Financials","DE0005140008","","22,877,400,000","EUR","Analyze"
"GY:FRE","Fresenius SE & Co. KGaA","FRE","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Health Care","DE0005785604","","22,653,546,780","EUR","Analyze"
"GY:BEI","Beiersdorf Aktiengesellschaft","BEI","02/08/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Staples","DE0005200000","","20,844,664,629","EUR","Analyze"
"GY:HNR1","Hannover Rück SE","HNR1","12/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Financials","DE0008402215","","19,392,019,147","EUR","Analyze"
"GY:CON","Continental Ag","CON","02/01/1994","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000VTSC0T7","BNLXP36","19,054,570,000","EUR","Analyze"
"GY:ZAL","Zalando SE","ZAL","09/30/2014","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000ZAL1111","BQV0SV7","18,660,667,522","EUR","Analyze"
"GY:SY1","Symrise AG","SY1","12/11/2006","Global Equity","Comon stocks","Developed markets ex-US","Materials","DE000SYM9999","","18,149,401,211","EUR","Analyze"
"GY:ENR","Siemens Energy N Ag","ENR","09/28/2020","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000ENER6Y0","BMTVQK9","16,263,515,423","EUR","Analyze"
"GY:PUM","PUMA SE","PUM","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE0006969603","","15,923,201,790","EUR","Analyze"
"GY:FME","Fresenius Medical Care AG & Co. KGaA","FME","10/04/1996","Global Equity","Comon stocks","Developed markets ex-US","Health Care","DE0005785802","","15,827,547,170","EUR","Analyze"
"GY:AFX","Carl Zeiss Meditec AG","AFX","03/22/2000","Global Equity","Comon stocks","Developed markets ex-US","Health Care","DE0005313704","","15,294,337,470","EUR","Analyze"
"GY:UN01","Uniper SE","UN01","09/11/2016","Global Equity","Common stocks","Developed markets ex-US","Utilities","DE000UNSE018","BZ6CZ43","14,587,165,600","EUR","Analyze"
"GY:DWNI","Deutsche Wohnen SE","DWNI","07/03/2006","Global Equity","Comon stocks","Developed markets ex-US","Real Estate","DE000A0HN5C6","","14,536,552,000","EUR","Analyze"
"GY:KBX","Knorr-Bremse AG","KBX","10/12/2018","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000KBX1006","BD2P9X9","14,163,032,000","EUR","Analyze"
"GY:EVK","Evonik Industries AG","EVK","04/25/2013","Global Equity","Comon stocks","Developed markets ex-US","Materials","DE000EVNK013","","12,982,760,000","EUR","Analyze"
"GY:HFG","HelloFresh SE","HFG","11/02/2017","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","DE000A161408","BYWH8S0","12,925,428,629","EUR","Analyze"
"GY:KGX","KION GROUP AG","KGX","06/28/2013","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE000KGX8881","","12,783,552,554","EUR","Analyze"
"GY:NEM","Nemetschek SE","NEM","03/11/1999","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","DE0006452907","","12,364,275,000","EUR","Analyze"
"GY:BNR","Brenntag SE","BNR","03/29/2010","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE000A1DAHH0","","11,847,060,000","EUR","Analyze"
"GY:HEI","HeidelbergCement AG","HEI","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Materials","DE0006047004","","11,777,973,760","EUR","Analyze"
"GY:QIA","QIAGEN N.V","QIA","10/23/1996","Global Equity","Comon stocks","Developed markets ex-US","Health Care","NL0012169213","","10,940,550,171","EUR","Analyze"
"GY:MAN3","MAN SE","MAN3","12/15/1997","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE0005937031","5563531","10,880,960,512","EUR","Analyze"
"GY:TLX","Talanx AG","TLX","10/02/2012","Global Equity","Comon stocks","Developed markets ex-US","Financials","DE000TLX1005","","10,268,639,893","EUR","Analyze"
"GY:1COV","Covestro AG","1COV","10/06/2015","Global Equity","Common stocks","Developed markets ex-US","Materials","DE0006062144","BYTBWY9","10,113,886,083","EUR","Analyze"
"GY:RAA","RATIONAL Aktiengesellschaft","RAA","03/06/2000","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0007010803","","9,414,360,000","EUR","Analyze"
"GY:LEG","Leg Immobilien Coupon Right","LEG","02/01/2013","Global Equity","Common stocks","Developed markets ex-US","Real Estate","DE000LEG1227","BMD0453","9,286,964,483","EUR","Analyze"
"GY:MTX","MTU Aero Engines AG","MTX","06/06/2005","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE000A0D9PT0","","8,976,023,407","EUR","Analyze"
"GY:G1A","GEA Group Aktiengesellschaft","G1A","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0006602006","","8,469,814,142","EUR","Analyze"
"GY:CBK","Commerzbank AG","CBK","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Financials","DE000CBK1001","","8,149,366,800","EUR","Analyze"
"GY:BC8","Bechtle AG","BC8","03/30/2000","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","DE0005158703","","7,774,200,000","EUR","Analyze"
"GY:WCH","Wacker Chemie AG","WCH","04/10/2006","Global Equity","Comon stocks","Developed markets ex-US","Materials","DE000WCH8881","","7,198,339,736","EUR","Analyze"
"GY:LHA","Deutsche Lufthansa AG","LHA","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0008232125","","7,194,432,605","EUR","Analyze"
"GY:EVT","Evotec SE","EVT","11/10/1999","Global Equity","Comon stocks","Developed markets ex-US","Health Care","DE0005664809","","7,158,330,739","EUR","Analyze"
"GY:O2D","Telefónica Deutschland Holding AG","O2D","10/30/2012","Global Equity","Comon stocks","Developed markets ex-US","Communication Services","DE000A1J5RX9","","6,996,153,343","EUR","Analyze"
"GY:DWS","DWS Group GmbH & Co. KGaA","DWS","03/29/2018","Global Equity","Common stocks","Developed markets ex-US","Financials","DE000DWS1007","","6,992,000,000","EUR","Analyze"
"GY:HLE","HELLA GmbH & Co. KGaA","HLE","11/11/2014","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000A13SX22","BSHYK55","6,900,000,055","EUR","Analyze"
"GY:AT1","Aroundtown SA","AT1","11/23/2015","Global Equity","Common stocks","Developed markets ex-US","Real Estate","LU1673108939","BF0CK44","6,210,526,162","EUR","Analyze"
"GY:UTDI","United Internet AG","UTDI","03/25/1998","Global Equity","Comon stocks","Developed markets ex-US","Communication Services","DE0005089031","","6,148,554,290","EUR","Analyze"
"GY:SIX2","Sixt SE","SIX2","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0007231326","","5,948,293,474","EUR","Analyze"
"GY:SIX3","Sixt SE","SIX3","10/09/1998","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE0007231334","5271276","5,948,293,474","EUR","Analyze"
"GY:EVD","CTS Eventim AG & Co. KGaA","EVD","02/01/2000","Global Equity","Comon stocks","Developed markets ex-US","Communication Services","DE0005470306","","5,868,908,082","EUR","Analyze"
"GY:TKA","thyssenkrupp AG","TKA","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Materials","DE0007500001","","5,819,426,714","EUR","Analyze"
"GY:FRA","Fraport AG","FRA","06/11/2001","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0005773303","","5,216,414,999","EUR","Analyze"
"GY:G24","Scout24 AG","G24","09/30/2015","Global Equity","Common stocks","Developed markets ex-US","Communication Services","DE000A12DM80","BYT9340","5,037,536,612","EUR","Analyze"
"GY:FIE","Fielmann Aktiengesellschaft","FIE","07/13/2020","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE0005772206","","4,989,221,681","EUR","Analyze"
"GY:FPE","Fuchs Petrolub N","FPE","02/08/1994","Global Equity","Common stocks","Developed markets ex-US","Materials","DE000A3E5D56","BNHRG73","4,935,890,000","EUR","Analyze"
"GY:FPE3","Fuchs Petrolub SE","FPE3","10/09/1998","Global Equity","Common stocks","Developed markets ex-US","Materials","DE0005790430","4354350","4,935,890,000","EUR","Analyze"
"GY:SHA","Schaeffler AG","SHA","10/08/2015","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000SHA0159","BZ1DNL4","4,931,730,000","EUR","Analyze"
"GY:SYAB","Synlab AG","SYAB","06/07/2021","Global Equity","Comon stocks","Developed markets ex-US","Health Care","DE000A2TSL71","","4,799,999,995","EUR","Analyze"
"GY:HOT","HOCHTIEF Aktiengesellschaft","HOT","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0006070006","","4,696,751,142","EUR","Analyze"
"GY:VAR1","Varta AG","VAR1","01/03/2000","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000A0TGJ55","5802449","4,585,840,276","EUR","Analyze"
"GY:LXS","LANXESS Aktiengesellschaft","LXS","01/31/2005","Global Equity","Comon stocks","Developed markets ex-US","Materials","DE0005470405","","4,548,723,242","EUR","Analyze"
"GY:JUN3","Jungheinrich Aktiengesellschaft","JUN3","12/31/1999","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE0006219934","5545670","4,492,080,000","EUR","Analyze"
"GY:DMP","Dermapharm Holding","DMP","02/09/2018","Global Equity","Common stocks","Developed markets ex-US","Health Care","DE000A2GS5D8","BFYTTC2","4,328,736,000","EUR","Analyze"
"GY:1U1","1&1 AG","1U1","04/23/1998","Global Equity","Comon stocks","Developed markets ex-US","Communication Services","DE0005545503","","4,302,451,556","EUR","Analyze"
"GY:VBK","VERBIO Vereinigte BioEnergie AG","VBK","10/16/2006","Global Equity","Comon stocks","Developed markets ex-US","Energy","DE000A0JL9W6","","4,094,299,353","EUR","Analyze"
"GY:WAF","Siltronic AG","WAF","06/11/2015","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE000WAF3001","BYY5978","4,080,000,000","EUR","Analyze"
"GY:YOU","ABOUT YOU Holding AG","YOU","09/23/2021","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","","","3,953,173,628","EUR","Analyze"
"GY:SAX","Ströer SE & Co. KGaA","SAX","07/15/2010","Global Equity","Comon stocks","Developed markets ex-US","Communication Services","DE0007493991","","3,849,134,499","EUR","Analyze"
"GY:B4B","Metro AG","B4B","07/13/2017","Global Equity","Comon stocks","Developed markets ex-US","Consumer Staples","DE000BFB0019","","3,847,625,375","EUR","Analyze"
"GY:NDA","Aurubis AG","NDA","07/07/1998","Global Equity","Comon stocks","Developed markets ex-US","Materials","DE0006766504","","3,702,285,744","EUR","Analyze"
"GY:BOSS","Hugo Boss AG","BOSS","02/03/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE000A1PHFF7","","3,646,814,264","EUR","Analyze"
"GY:TEG","TAG Immobilien AG","TEG","04/27/1994","Global Equity","Comon stocks","Developed markets ex-US","Real Estate","DE0008303504","","3,600,935,724","EUR","Analyze"
"GY:RHM","Rheinmetall AG","RHM","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0007030009","","3,530,096,267","EUR","Analyze"
"GY:GYC","Grand City Properties S.A","GYC","05/29/2012","Global Equity","Comon stocks","Developed markets ex-US","Real Estate","LU0775917882","","3,461,272,025","EUR","Analyze"
"GY:ZO1","zooplus AG","ZO1","05/09/2008","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE0005111702","","3,427,315,933","EUR","Analyze"
"GY:COP","Compugroup Medical N","COP","06/18/2001","Global Equity","Common stocks","Developed markets ex-US","Health Care","DE000A288904","BMY7CH1","3,423,911,678","EUR","Analyze"
"GY:TLG","TLG Immobilien AG","TLG","10/23/2014","Global Equity","Common stocks","Developed markets ex-US","Real Estate","DE000A12B8Z4","BR2Z8G3","3,366,256,110","EUR","Analyze"
"GY:PSM","ProSiebenSat.1 Media SE","PSM","07/14/1997","Global Equity","Comon stocks","Developed markets ex-US","Communication Services","DE000PSM7770","","3,129,867,880","EUR","Analyze"
"GY:HYQ","Hypoport SE","HYQ","10/29/2007","Global Equity","Comon stocks","Developed markets ex-US","Financials","DE0005493365","","3,116,034,900","EUR","Analyze"
"GY:SDF","K+S Aktiengesellschaft","SDF","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Materials","DE000KSAG888","","3,066,228,000","EUR","Analyze"
"GY:KRN","Krones AG","KRN","09/11/1998","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0006335003","","3,066,107,637","EUR","Analyze"
"GY:SOW","Software Aktiengesellschaft","SOW","04/26/1999","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","DE000A2GS401","","2,873,378,888","EUR","Analyze"
"GY:FNTN","freenet AG","FNTN","12/03/1999","Global Equity","Comon stocks","Developed markets ex-US","Communication Services","DE000A0Z2ZZ5","","2,859,602,130","EUR","Analyze"
"GY:SZU","Südzucker AG","SZU","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Staples","DE0007297004","","2,660,726,000","EUR","Analyze"
"GY:DUE","Dürr Aktiengesellschaft","DUE","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0005565204","","2,640,751,372","EUR","Analyze"
"GY:GXI","Gerresheimer AG","GXI","06/11/2007","Global Equity","Comon stocks","Developed markets ex-US","Health Care","DE000A0LD6E6","","2,579,510,000","EUR","Analyze"
"GY:AOX","alstria office REIT-AG","AOX","04/02/2007","Global Equity","REITs","Developed markets ex-US","Real Estate","DE000A0LD2U1","B1VP947","2,545,919,744","EUR","Analyze"
"GY:BFSA","Befesa Sa","BFSA","11/03/2017","Global Equity","Common stocks","Developed markets ex-US","Industrials","LU1704650164","BDZRDG3","2,527,999,873","EUR","Analyze"
"GY:RKET","Rocket Internet SE","RKET","10/02/2014","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000A12UKK6","BR17150","2,523,852,800","EUR","Analyze"
"GY:NA9","Nagarro N","NA9","12/16/2020","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE000A3H2200","BMT6455","2,521,005,255","EUR","Analyze"
"GY:YSN","Secunet Security Ag","YSN","11/09/1999","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE0007276503","5808845","2,497,227,772","EUR","Analyze"
"GY:SAE","Shop Apotheke Europe N.V","SAE","10/13/2016","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","NL0012044747","BYYH7G9","2,477,222,064","EUR","Analyze"
"GY:ECV","Encavis AG","ECV","07/28/1998","Global Equity","Comon stocks","Developed markets ex-US","Utilities","DE0006095003","","2,439,133,086","EUR","Analyze"
"GY:NDX1","Nordex SE","NDX1","04/02/2001","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE000A0D6554","","2,379,512,790","EUR","Analyze"
"GY:COK","Cancom SE","COK","09/20/1999","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","DE0005419105","","2,377,640,640","EUR","Analyze"
"GY:TMV","Teamviewer Ag","TMV","09/25/2019","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE000A2YN900","BJ7WGS1","2,376,658,404","EUR","Analyze"
"GY:KWS","KWS SAAT SE & Co. KGaA","KWS","02/18/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Staples","DE0007074007","","2,333,100,000","EUR","Analyze"
"GY:NB2","Northern Data Ag","NB2","10/05/2018","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE000A0SMU87","BWT5WX6","2,207,810,545","EUR","Analyze"
"GY:FTK","FinTech Group AG","FTK","06/30/2009","Global Equity","Common stocks","Developed markets ex-US","Financials","DE000FTG1111","BYVQYG8","2,143,626,867","EUR","Analyze"
"GY:PFV","Pfeiffer Vacuum Technology AG","PFV","04/15/1998","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0006916604","","2,077,142,219","EUR","Analyze"
